spearman_log2fc,jaccard_significant,ref_sig_count,test_sig_count,abs_sig_count_delta
0.8484556991833991,0.7231040564373897,499,478,21
0.8566721296143508,0.7379679144385026,499,476,23
0.85814877893241,0.6951219512195121,499,474,25
0.8600928194455476,0.6785109983079526,499,493,6
0.8566397038910291,0.7110726643598616,499,490,9
0.8592198002151797,0.7359154929577465,499,487,12
0.8573485625177317,0.7450980392156863,499,480,19
0.8576506066942855,0.7107583774250441,499,471,28
0.8634100254128468,0.7280701754385965,499,486,13
0.8577888563120176,0.6964912280701754,499,468,31
