gene,log2fc,pvalue,adj_pvalue,sig_adj_lfc,sig_raw_lfc
KLF11,-109.86830065359476,2.843338966736033e-07,0.0049672995834085,True,True
TAF15,-353.2761437908495,4.680162989798688e-07,0.0049672995834085,True,True
HNRNPA0,-208.43856209150331,6.477564219464308e-07,0.0049672995834085,True,True
CDK2AP1,-1132.4640522875816,7.359197430309209e-07,0.0049672995834085,True,True
AHNAK,-692.4477124183006,8.151899438200314e-07,0.0049672995834085,True,True
HNRPH1,-193.425816993464,1.224599283211305e-06,0.0049672995834085,True,True
LOC100131609,-1182.1081699346405,1.3163867070579379e-06,0.0049672995834085,True,True
C1ORF174,-124.84346405228749,1.4738064823335656e-06,0.0049672995834085,True,True
TRIT1,-100.95947712418305,1.6135499914166306e-06,0.0049672995834085,True,True
LOC402112,-603.5035947712419,1.7763341613463227e-06,0.0049672995834085,True,True
LOC644191,-1372.661764705882,1.8699507994975768e-06,0.0049672995834085,True,True
NFX1,-125.64248366013078,2.1995380297489585e-06,0.0049672995834085,True,True
UBE2D4,-112.37647058823524,2.2779827738858577e-06,0.0049672995834085,True,True
FBXL10,-274.8401960784313,2.324289316388377e-06,0.0049672995834085,True,True
DIS3L,-270.88529411764705,2.3786711068550474e-06,0.0049672995834085,True,True
ALDH3A2,-100.2006535947713,2.556630162189085e-06,0.0050052427000256815,True,True
LOC644928,-1038.075816993464,3.238877815828387e-06,0.005451094112284608,True,True
NELF,-90.39477124183009,3.356312188238108e-06,0.005451094112284608,True,True
SGK1,-875.2624183006536,3.3617865456263897e-06,0.005451094112284608,True,True
NACA,-4795.5931372549,3.480458506119658e-06,0.005451094112284608,True,True
LOC644934,-1345.1565359477124,3.85451541253573e-06,0.005588713301021815,True,True
TOMM70A,-224.08627450980399,3.925159386492144e-06,0.005588713301021815,True,True
LOC550643,-827.630392156863,4.56296828590748e-06,0.005602870813377822,True,True
LOC652071,-7443.945098039214,4.63690400935206e-06,0.005602870813377822,True,True
SPRED1,-70.76143790849676,4.887297022890547e-06,0.005602870813377822,True,True
